stage,pleiades_id,pleiades_toponym,TP_gridsquare,Talbert_id,ku_id,ku_name_lookup,talbert_name_lookup,TP_symbol,TP_notes,TP_coastal,RC_peri_count,pp_page,schnetz_page,RC_peri_ref,RC_peri,RC itin,gg_ref,GG_peri,GG_itin,representative_latitude,representative_longitude,ku_x,ku_y
2,432941,Misenum,5C3,1472,515,[Baiae] (Miller),"(symbol, no name, no. 44)",yes,TP on spur,[symbol],37,333,85,,Misenon,Bias,,Misenum,Misenum,40.786279,14.084884,0.251495496,-0.022983104
2,432911,Liternum,5B3,1469,511,Literno,Literno,,,Literno,38,333,85,,Liternum,Laternum,,Uturnum,Liternum,40.9210656,14.03007351,0.248630622,-0.021889905
2,433210,Volturnum,5B3,1468,510,Vulturno,Vvltvrno,,,Vvltvrno,39,333,85,,Vulturium,Bulturnum,,Vulturnum,Vulturnum,41.033657,13.941734,0.246449984,-0.021794405
2,433108,Savo (river),5B3,1467,509,Safe flumen,Safe Fl.,,,Safe fl.,40,333,85,,Safon,Safon,,Safum,Sason,41.23353443,13.91828,0.24449352,-0.021777415
2,433122,Sinues(s)a/Sinope,5B3,1440,480,Sinuessa,Sinvessa,yes,,Sinvessa,41,333,85,,Sinuessa,Sinuesse,,Sinuessa,Sinuessa,41.15229,13.84483,0.24306938,-0.021663554
2,432940,Minturnae,5B2,1438,477,Menturnis,Mentvrnis,yes,,Mentvrnis,42,333,85,,Menturnis,Menturnae,,Menturnis,Menturnis,41.242193,13.768467,0.240735968,-0.021319331
2,432734,Caieta,5B2,3566,2776,[Caieta] (Miller),"(isolated symbol, unnamed, no. 4)",,not on network,[City Symbol],43,333,85,,Gaieta,Gaieta,,Caieta,Caieta,41.214072,13.570989,0.238143957,-0.021875638
2,432839,Formiae,5B2,1437,476,Formis,Formis,,,Formis,44,334,85,,Formis,Formiae,,Formis,Formis,41.255655,13.601067,0.239552897,-0.020732455
2,432855,Fundi,5B2,1436,475,Fundis,Fvndis,,,Fvndis,45,334,85,,Fundi,Fundi,,Fundis,Fundis,41.357429,13.427922,0.23707218,-0.021132636
2,433143,Tarracina(e)/Anxur,5B2,1426,464,Terracina,Terracina,yes,,Terracina,46,334,85,,Tarracina,Taracina,,Terracina,Terracina,41.291169,13.24885,0.234928166,-0.021527225
2,432643,Ad Turres,5B2,1435,474,Ad Turres,Ad tvrres,,,ad Tvrres,47,334,85,,Turres,Turris,,Turres,Turris,41.252486,13.099955,0.233310207,-0.02152822
2,432783,Circeii 2,5B2,1434,473,Circeios,Circeios,,,Circeios,48,334,85,,Cerellos,Carcellis,,"Circeia, Cerellos",Circeius,41.252111,13.034928,0.231960604,-0.021497486
2,432644,Ad Turres Albas,5B2,1433,472,ad turres albas (Ad Turres Albas),+dtvrres albas,,,dtvrres albas,49,334,85,,Turris albas,Turris albas,,Turris alba,Turres albas,41.386204,12.923377,0.231476895,-0.021170034
2,432788,Clostra (Romana),5B1,1432,471,Clostris,Clostris,,,Clostris,50,334,85,,Colostris,Plostris,,Clostris,Plostris,41.414938,12.872401,0.229584824,-0.021333587
2,432703,Astura,5B1,1431,470,Astura,Astvra,,,Astvra,51,334,85,,Astura,Isturas,,Astura,Istura,41.408855,12.765272,0.228078158,-0.021190404
2,422837,Antium,5B1,1430,469,Antium,Antivm,yes,,Antivm,52,334,85,,Antianum,Antium,,Antium,Antium,41.44795,12.628995,0.226611076,-0.020617741
2,422960,Lavinium,5B1,1429,467,Lauinium (Lavinium),Lavinivm,,,Lavinivm,53,334,85,,Lavinium,Lavinium,,Lavinium,Lavinium,41.664474,12.4807205,0.224573507,-0.020797398
